episode_id,true_label,predicted_label,ranked_labels
demo_101,can,can,can square transport lift tool_hang
demo_102,can,can,can square transport tool_hang lift
demo_105,can,can,can square transport lift tool_hang
demo_108,can,can,can square transport lift tool_hang
demo_11,can,can,can square transport lift tool_hang
demo_115,can,can,can square transport lift tool_hang
demo_116,can,can,can square transport lift tool_hang
demo_122,can,can,can square transport lift tool_hang
demo_128,can,can,can square transport lift tool_hang
demo_129,can,can,can square transport lift tool_hang
demo_13,can,can,can square transport lift tool_hang
demo_134,can,can,can square transport lift tool_hang
demo_14,can,can,can square transport lift tool_hang
demo_140,can,can,can square transport lift tool_hang
demo_145,can,can,can square transport lift tool_hang
demo_149,can,can,can square transport tool_hang lift
demo_156,can,can,can square transport lift tool_hang
demo_165,can,can,can transport square lift tool_hang
demo_176,can,can,can square transport lift tool_hang
demo_177,can,can,can square transport lift tool_hang
demo_185,can,can,can transport square lift tool_hang
demo_188,can,can,can square transport lift tool_hang
demo_197,can,can,can square transport tool_hang lift
demo_20,can,can,can square transport lift tool_hang
demo_22,can,can,can square transport lift tool_hang
demo_24,can,can,can square transport lift tool_hang
demo_25,can,can,can square transport lift tool_hang
demo_34,can,can,can transport square lift tool_hang
demo_4,can,can,can square transport lift tool_hang
demo_42,can,can,can square transport lift tool_hang
demo_48,can,can,can square transport lift tool_hang
demo_5,can,can,can square transport lift tool_hang
demo_51,can,can,can square transport lift tool_hang
demo_56,can,can,can square transport lift tool_hang
demo_59,can,can,can square transport lift tool_hang
demo_64,can,can,can square transport lift tool_hang
demo_66,can,can,can square transport lift tool_hang
demo_72,can,can,can transport square lift tool_hang
demo_86,can,can,can square transport lift tool_hang
demo_92,can,can,can square transport lift tool_hang
demo_105,lift,lift,lift can square tool_hang transport
demo_118,lift,lift,lift square transport tool_hang can
demo_120,lift,lift,lift square can transport tool_hang
demo_121,lift,lift,lift square transport tool_hang can
demo_123,lift,lift,lift square transport can tool_hang
demo_13,lift,lift,lift square transport can tool_hang
demo_134,lift,lift,lift square transport tool_hang can
demo_137,lift,lift,lift square transport can tool_hang
demo_138,lift,lift,lift square transport can tool_hang
demo_142,lift,lift,lift square transport tool_hang can
demo_156,lift,lift,lift square transport can tool_hang
demo_158,lift,lift,lift square transport tool_hang can
demo_159,lift,lift,lift square transport can tool_hang
demo_168,lift,lift,lift square transport can tool_hang
demo_169,lift,lift,lift square transport tool_hang can
demo_171,lift,lift,lift square transport can tool_hang
demo_176,lift,lift,lift square transport can tool_hang
demo_184,lift,lift,lift square transport can tool_hang
demo_186,lift,lift,lift square transport can tool_hang
demo_195,lift,lift,lift square transport tool_hang can
demo_197,lift,lift,lift square transport tool_hang can
demo_26,lift,lift,lift square transport can tool_hang
demo_35,lift,lift,lift square transport can tool_hang
demo_36,lift,lift,lift square transport tool_hang can
demo_37,lift,lift,lift square transport can tool_hang
demo_40,lift,lift,lift square transport tool_hang can
demo_45,lift,lift,lift square transport tool_hang can
demo_46,lift,lift,lift square transport can tool_hang
demo_55,lift,lift,lift square transport can tool_hang
demo_6,lift,lift,lift square transport can tool_hang
demo_60,lift,lift,lift square transport can tool_hang
demo_62,lift,lift,lift square transport can tool_hang
demo_64,lift,lift,lift square transport can tool_hang
demo_72,lift,lift,lift square transport tool_hang can
demo_75,lift,lift,lift square transport tool_hang can
demo_8,lift,lift,lift square transport can tool_hang
demo_9,lift,lift,lift square transport can tool_hang
demo_92,lift,lift,lift square transport can tool_hang
demo_93,lift,lift,lift square transport can tool_hang
demo_98,lift,lift,lift square transport can tool_hang
demo_0,square,square,square can lift transport tool_hang
demo_10,square,square,square can transport tool_hang lift
demo_103,square,square,square can transport tool_hang lift
demo_115,square,square,square transport can tool_hang lift
demo_116,square,square,square can transport tool_hang lift
demo_119,square,square,square can transport lift tool_hang
demo_132,square,square,square transport tool_hang can lift
demo_133,square,square,square can transport tool_hang lift
demo_144,square,square,square transport can lift tool_hang
demo_145,square,square,square transport tool_hang can lift
demo_15,square,square,square can transport tool_hang lift
demo_155,square,square,square transport can tool_hang lift
demo_16,square,square,square transport can lift tool_hang
demo_165,square,square,square can tool_hang transport lift
demo_167,square,square,square can transport tool_hang lift
demo_185,square,square,square transport tool_hang can lift
demo_190,square,square,square can transport tool_hang lift
demo_193,square,square,square can transport tool_hang lift
demo_194,square,square,square can transport tool_hang lift
demo_196,square,square,square transport tool_hang can lift
demo_2,square,square,square can transport tool_hang lift
demo_26,square,square,square transport tool_hang can lift
demo_27,square,square,square can transport tool_hang lift
demo_3,square,square,square can transport tool_hang lift
demo_30,square,square,square can transport tool_hang lift
demo_32,square,square,square transport can lift tool_hang
demo_34,square,square,square transport can tool_hang lift
demo_38,square,square,square transport can lift tool_hang
demo_4,square,square,square transport can tool_hang lift
demo_45,square,square,square transport can tool_hang lift
demo_49,square,square,square transport tool_hang can lift
demo_50,square,square,square can transport tool_hang lift
demo_56,square,square,square transport tool_hang can lift
demo_65,square,square,square can transport lift tool_hang
demo_7,square,square,square transport tool_hang can lift
demo_72,square,square,square can transport tool_hang lift
demo_73,square,square,square transport tool_hang can lift
demo_90,square,square,square can transport tool_hang lift
demo_93,square,square,square can transport tool_hang lift
demo_96,square,square,square can transport lift tool_hang
demo_1,tool_hang,tool_hang,tool_hang transport square can lift
demo_100,tool_hang,tool_hang,tool_hang square transport can lift
demo_109,tool_hang,tool_hang,tool_hang transport square can lift
demo_110,tool_hang,tool_hang,tool_hang transport square can lift
demo_120,tool_hang,tool_hang,tool_hang transport square can lift
demo_135,tool_hang,tool_hang,tool_hang transport square can lift
demo_136,tool_hang,tool_hang,tool_hang transport square can lift
demo_144,tool_hang,tool_hang,tool_hang transport square can lift
demo_148,tool_hang,tool_hang,tool_hang transport square can lift
demo_153,tool_hang,tool_hang,tool_hang transport square can lift
demo_154,tool_hang,tool_hang,tool_hang transport square can lift
demo_165,tool_hang,tool_hang,tool_hang transport square can lift
demo_170,tool_hang,tool_hang,tool_hang square transport can lift
demo_175,tool_hang,tool_hang,tool_hang transport square can lift
demo_182,tool_hang,tool_hang,tool_hang transport square can lift
demo_185,tool_hang,tool_hang,tool_hang transport square can lift
demo_187,tool_hang,tool_hang,tool_hang transport square can lift
demo_19,tool_hang,tool_hang,tool_hang transport square can lift
demo_190,tool_hang,tool_hang,tool_hang transport square can lift
demo_191,tool_hang,tool_hang,tool_hang transport square can lift
demo_192,tool_hang,tool_hang,tool_hang transport square can lift
demo_193,tool_hang,tool_hang,tool_hang transport square can lift
demo_21,tool_hang,tool_hang,tool_hang transport square can lift
demo_25,tool_hang,tool_hang,tool_hang square transport can lift
demo_29,tool_hang,tool_hang,tool_hang transport square can lift
demo_34,tool_hang,tool_hang,tool_hang transport square can lift
demo_4,tool_hang,tool_hang,tool_hang transport square can lift
demo_41,tool_hang,tool_hang,tool_hang square transport can lift
demo_42,tool_hang,tool_hang,tool_hang transport square can lift
demo_45,tool_hang,tool_hang,tool_hang transport square can lift
demo_54,tool_hang,tool_hang,tool_hang transport square can lift
demo_68,tool_hang,tool_hang,tool_hang transport square can lift
demo_7,tool_hang,tool_hang,tool_hang transport square can lift
demo_83,tool_hang,tool_hang,tool_hang transport square can lift
demo_84,tool_hang,tool_hang,tool_hang transport square can lift
demo_88,tool_hang,tool_hang,tool_hang transport square can lift
demo_89,tool_hang,tool_hang,tool_hang transport square can lift
demo_91,tool_hang,tool_hang,tool_hang transport square can lift
demo_94,tool_hang,tool_hang,tool_hang transport square can lift
demo_99,tool_hang,tool_hang,tool_hang transport square can lift
demo_0,transport,transport,transport square can tool_hang lift
demo_109,transport,transport,transport square can tool_hang lift
demo_11,transport,transport,transport square can tool_hang lift
demo_110,transport,transport,transport square tool_hang can lift
demo_118,transport,transport,transport square can tool_hang lift
demo_124,transport,transport,transport square can tool_hang lift
demo_129,transport,transport,transport tool_hang square can lift
demo_140,transport,transport,transport square can tool_hang lift
demo_142,transport,transport,transport square tool_hang can lift
demo_147,transport,transport,transport square can tool_hang lift
demo_149,transport,transport,transport square can tool_hang lift
demo_15,transport,transport,transport square can tool_hang lift
demo_153,transport,transport,transport square tool_hang can lift
demo_16,transport,transport,transport square can tool_hang lift
demo_173,transport,transport,transport square can tool_hang lift
demo_179,transport,transport,transport square can tool_hang lift
demo_187,transport,transport,transport tool_hang square can lift
demo_19,transport,transport,transport square tool_hang can lift
demo_192,transport,transport,transport square tool_hang can lift
demo_193,transport,transport,transport square can tool_hang lift
demo_196,transport,transport,transport square tool_hang can lift
demo_199,transport,transport,transport square can tool_hang lift
demo_28,transport,transport,transport square tool_hang can lift
demo_31,transport,transport,transport square can tool_hang lift
demo_42,transport,transport,transport square can tool_hang lift
demo_49,transport,transport,transport square can tool_hang lift
demo_51,transport,transport,transport square can tool_hang lift
demo_58,transport,transport,transport square can tool_hang lift
demo_59,transport,transport,transport square can tool_hang lift
demo_61,transport,transport,transport square tool_hang can lift
demo_67,transport,transport,transport square tool_hang can lift
demo_69,transport,transport,transport square can tool_hang lift
demo_72,transport,transport,transport square can tool_hang lift
demo_84,transport,transport,transport square can tool_hang lift
demo_89,transport,transport,transport square can tool_hang lift
demo_90,transport,transport,transport square can tool_hang lift
demo_95,transport,transport,transport square can tool_hang lift
demo_96,transport,transport,transport square tool_hang can lift
demo_98,transport,transport,transport square tool_hang can lift
demo_99,transport,transport,transport square can tool_hang lift
